file,target,candidate
hexo.cd19d06a7bbd875b51d77018fc1a6c0b55900672.lib.extend.renderer.js,var Renderer = module.exports = function(){,var Renderer = module.exports = function(){
express.2adf02075329451e513730e0421a6998d9e314c6.test.req.accepted.js,".expect(200, done);",".expect(200, done);"
karma.fbbeccf936a08e5296ffbe41e02c82c4a014c80e.test.unit.reporter.spec.js,"formatError = m.createErrorFormatter({ basePath: '', hostname: 'localhost', port: 8080 }, emitter)",NULL
karma.81bb838a41af0c43b23bda1f378d77b64736833a.test.client.config.js,basePath = '../..';,"baseUrl: \'/\',"
karma.5f13e11784c283872c97501b9e21402987429c56.lib.web-server.js,function createServeStaticFile (config) {,'
bower.a5852b101b01058f6aeb6d4728cef571273b7a7f.lib.util.hogan-colors.js,"green  : function (s) { return s.green; },","green  : function (s) { return s.green; },"
hexo.f8c3e69fb596d3769b73ef796481411c94b6715b.lib.db.js,"var item = this.store[id],",var model = this;
hexo.3e8473027739a788ed3401d67f875fb2529174c8.test.scripts.filters.new_post_path.js,var sinon = require('sinon');,var sinon = require(\'sinon\');
hexo.a72afcdf42c6e5e288017c10a1855171c21653de.lib.plugins.helper.css.js,"return args.reduce((_result, path, i) => {",'
bower.1e724af838deca3636fd5ba8cc0efa06c010e693.test.core.resolvers.gitHubResolver.js,it.skip('it should error out if the status code is not within 200-299');,it('should.then(function () { done();
karma.25d9abb76929b6ea8abe1cf040ba6db2f269d50e.lib.server.js,"customFileHandlers: ['value', []],","customFileHandlers: ['value: ['value', []],"
hexo.1fcdbda438e2ef75f7636cea021928a71e4dc69f.lib.hexo.source.js,class Source extends Box {,const { source } = post;
hexo.2c1f94808d6a050c4fd177682c1503165a060aa3.test.scripts.hexo.render.js,return hexo.render.render().then(function(){,return obj.compile(); }).then(function() {'
express.bee0496cb1d805e6a85776431b5b41e886c0b2ed.test.res.cookie.js,var val = ['name=tobi; path=/'];,'
express.c81b5cee1849da2749612410cc2927dd4e6437b8.lib.express.core.js,"Express.header('Content-Length', (Express.response.body || '').length)",Express.response.response.response.body || function()
hexo.9b4968875169a62d053cfd57da87e22e7ed98a8b.lib.plugins.console.list.category.js,const { underline } = require('chalk');,NULL
hexo.72ff6ac9f2f80b4ae32aeed014a859bd5e6be4ea.test.scripts.extend.processor.js,var Pattern = require('hexo-util').Pattern;,var util = require('hexo-util');
hexo.97b70e370eaaa3f1009d0df190220caee314bc50.lib.plugins.helper.tagcloud.js,"tagColor = '',",} else {\
express.ba8dffe1300258d430376575056ad6cd64bec816.lib.express.core.js,"keys: [],",} else {
express.203fb05d3e90b7e22d3660aee6046b77577ff62c.test.app.render.js,err.message.should.match(/Cannot read property '[^']+' of undefined/);,app.locals.should.should.throwErrors();
hexo.d35287a765d5d7d43135c8f50d1a63204d5f21ad.lib.core.render.js,"if (typeof data.text !== 'undefined') return next(null, data.text);",var ext = data.engine || getExtname(data.path);
express.91aebc758cd4c1a4384c5b047f1ebc8e3f7d860e.test.router.test.js,'test app.param(fn)': function(){,\'test.param()\': function(){
express.8fc062007e8314038fbce175e0c1877a899424ef.spec.spec.plugins.view.js,describe 'when engine cannot be found',describe 'when given a status code'
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.plugins.filter.after_post_render.excerpt.js,const rExcerpt = /<!--+\s*more\s*--+>/i;,'
hexo.23437828bb0d760376ba7cc781dad3100db04ed0.test.scripts.console.list_page.js,"it('page', async () => {",});'
hexo.f01a9aa3db9dc5b52d056c7467186fa5f33c5857.test.scripts.tags.gist.js,"describe('gist', function() {","it(\'file', function() {"
hexo.9a3592764e36ecc16a516b638069356ecac43bef.test.scripts.tag.vimeo.js,"describe('vimeo', function(){",""""
express.c3a2aff9d345aa51067e1efafcd83d35d5744fde.examples.blog.blog.index.js,return this.set('home');,res.exec(res.exec(res);
hexo.f9501f7d75462b37230fa127f168203aeaa5086e.lib.model.schema.js,var Cache = new Schema({,var Cache = new Schema({
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.models.cache.js,const Schema = require('warehouse').Schema;,NULL
hexo.f4cf0d5efd947b86ee177ce313a5a410db0b9d22.lib.util.index.js,"file2: require('./file2'),","file2: require('./file2'),"
hexo.be6c4473d0b6cb1c379a4e959d0e0496323e84a3.test.scripts.extend.filter.js,data.should.eql('foo');,data.should.eql('');
express.c1309181357a59a9894536ed072245fcac070cf8.test.acceptance.mvc.js,".write('{""user"":{""name"":""Tobo""}}')",.get('/user/1/edit')
karma.460d423e5ad6b086f0505ddd759754779711b2b9.test.unit.launchers.process.spec.js,process.stdout = new EventEmitter(),process.stdout = new EventEmitter()
hexo.f01a9aa3db9dc5b52d056c7467186fa5f33c5857.lib.plugins.helper.markdown.js,"function markdownHelper(text, options) {","function tocHelper(str, options) {"
karma.4d05602c803a6645d6c0e9404a60ed380f0329ee.test.client.karma.spec.js,"it('should navigate the client to return_url if specified', function() {","' });"""
hexo.f972a9d788e1f9fd73d871263815bee73f01e9c2.test.scripts.helpers.is.js,"it('is_current', async() => {","it(\'is_current', async () => {"
karma.eb8d43f282981c25aaf1da1fc9dac9579a6e695a.lib.init.formatters.js,var formatQuottedList = function(list) {,var formatQuottedList = function(format) {
bower.6bc778df32c0276300f0ca782a92b576b8ca6a06.lib.util.resolve.js,},}
express.328c6d30603202cfdf1e479f2486e10521a91a44.test.res.format.js,", request = require('supertest')",return.returnsucrecate()
mongoose.98edcbae1b9caa3f498a5446450261f858fc0a70.test.browser.document.test.js,"oids    : [mongoose.Schema.Types.ObjectId],",var schema = new mongoose.Schema({
express.ffcaa04d2c80696234c83eb756fb09bc8d59f65f.lib.response.js,res.format = function(obj){,return function(){
karma.35965d9e996d462e471044b338ac038d2787c26d.lib.reporters.base.js,var constants = require('../constants'),var helper = require('../helper')
bower.8ff0e0e2d1f9eb5dd4027ea43a9a99eb083e0d21.lib.core.Manager.js,var componentsDirContents;,} function () {
karma.6af2c897f3b35060a146efdef7da597ba53d8cdd.client.karma.js,var queryParams = util.parseQueryParams(location.search);,var queryParams = util.parseQueryParams(location.search);
karma.b22ab77c5b310b734b31ec4aa5687b06bdb6a096.lib.file-list.js,"preprocess(file, function() {",return Promise.then(function() {
express.c9f184c8d560d6f8fd83572dd8d5b13ea6c54ad1.test.res.sendfile.js,"it('should invoke the callback on 404', function(done){","it('should invoke the callback on 404', function(done){"
bower.3ce2dd39899e24c394cfd91528155c84406a3be0.test.commands.uninstall.js,var fs = require('graceful-fs');,var configWithSave = {
express.b02b384f1455a60b626d4432def872cb082b00c3.lib.express.core.js,if (host !== undefined) this.host = host,})) return 'express() })
hexo.6f11dfe5814588e8ff6e1b6b3d8c0f4ed9ff7770.lib.init.js,var defaults = {,var defaults = {
hexo.e2470416f92c75a5df42e9a6c907a83fd3810e30.lib.util.escape.js,"return str.replace(/[\-\[\]\/\{\}\(\)\*\+\?\.\\\^\$\|]/g, '\\$&');","return String(this.join('') }, strs{\\{}"
karma.b89572c7677849108be479e986be6dc0a7fef55d.lib.browser.js,log.warn('Adapter did not report total number of specs.');,return collection = function() {
karma.96948f6d54be2d9fab18bea243af360616a929b7.adapter.angular-scenario.src.js,"description: spec.name,",var spec = spec.id;
bower.53eeca97d38945751075932ac6e6841ebeaeeb0a.lib.util.relativeToBaseDir.js,return function (filePath) {,return config || {};
express.58b46ffeac83d334bbbe43803afc82e672a68332.lib.express.view.js,root += (typeof this.app.set('partials') === 'string') ? this.app.set('partials') : '/partials';,""""
hexo.182bf7e3aea897c10a9983d0eb468905c35c2767.lib.process.theme.js,"extend.processor.register(function(locals, callback){",""""
hexo.cd19d06a7bbd875b51d77018fc1a6c0b55900672.lib.extend.processor.js,var Processor = module.exports = function(){,module.exports = function(grunt) {
express.bd5e77133787ac72c8e7545028be78095b8d0c60.lib.express.mime.js,return Express.mimeTypes[ext] || 'application/octet-stream',",""xaml""          : ""application/xaml"","""
express.2e53cb72ec523e4d5d4874628ddae5f279551ec9.lib.request.js,req.acceptsEncoding = function(encoding){,NULL
hexo.dced2aca2b290064e3c7a6798ca8dcb65547b8d6.lib.plugins.helper.tagcloud.js,const Color = require('hexo-util').Color;,'
hexo.23e08f1b2e3a758425565dd14ecf27ea62884028.lib.cli.generate.js,"var filename = item.substring(0, item.length - extname.length),","return next(null, '');   return next();"""
express.143114b881b1bbbf3baa28bff37a39763a1e3f61.lib.express.view.js,"var render = exports.render = function(view, options) {","var result = exports.render = function(str, options, callback){"
express.725e2ec99a32c268d0029a08a28f441caf3052f9.spec.spec.request.js,describe '#attachment()',Express.test')
hexo.c19096b0a8deb824a62733d8aa3dcf2568c33efb.test.scripts.helpers.open_graph.js,"meta({property: 'og:locale', content: 'en_US'}),","meta({property: \'og:locale', content: \'en'}),"
express.9cc5593afb7bf3213ba7676607ac04505a73d21a.spec.spec.mocks.js,it 'should allow request to be passed',it'should allow request to be passed'
hexo.249a4332cbbb8b937d8be2aebb764ce6a7b2c0b8.lib.plugins.helper.url_for.js,"module.exports = function(path, options) {",module.exports = function(ctx) {
hexo.82018bd32a3fb3b4f2c83406bf1f7a5f7a082dca.lib.generator.archive.js,if (config.archive == 2){,if (config.archive === 2){
express.4d87efc771265622dd8ccb1d5aceb94ad1fa3306.lib.response.js,url = req.protocol + '://' + host + url;,return function (position) {
express.fb655f49816f03cd866ad8e73614ee8662dffac6.lib.router.index.js,", parse = require('url').parse","+ = require(""../utils"")"
karma.ee203452ddf75b706bb361061f6281e752dca9ea.lib.helper.js,"var gsParser = function (pattern, out) {","return gs.reduce(function (prev, p) {"
express.3b6d683b7f2d24d61c910398ad1bbde22c536f98.test.app.js,process.env.NODE_ENV = 'development';,process.env.NODE_ENV = 'development';
hexo.19fd8fcea9675a88f56f675b1f133461827176a5.lib.generator.archive.js,posts.archive = true;,posts.archive = true;
karma.d96e612b417c755239c559801f23660815bf8e2a.lib.util.js,var ucFirst = function(word) {,NULL
express.5f077e56f01706bdfb64789126bb65838586af25.lib.express.server.js,"this.set('env', process.env.NODE_ENV || 'development');","this.set(\'env\', process.env.NODE_ENV || \'development\');"
express.6a7363e4aec1186a4a1cbfacfe03fa176c38cf21.lib.request.js,", parse = utils.parseUrl",assert.toArray);
express.40e04ec7a6d365a7e083b0fdf7f9d2c7afc036a0.test.req.signedCookies.js,if (req.path === '/set') {,'
karma.ff55a2e3ee99b6b9315474befdb1b6cf0fafb058.lib.file-list.js,if (!patterns[i]) {,if (this.reset();
express.b9637c9d7decff9e6702d10670661bd6920c1599.examples.chat.app.js,"self.render('chat.html.haml', {",""""
express.3d4d62a51258b69108440d0657ebe7e686a33301.spec.spec.plugins.js,describe 'Event',describe 'Event'
express.4106bae79ee98b498bcf093bdf4de71931f3cc10.test.support.http.js,", methods = require('../../').methods","path = require(\'path\'),"
hexo.a2184229232a9893179b43475f344c556ec4d956.test.scripts.box.file.js,fileStats.dev = (new Uint32Array([fileStats.dev]))[0],var stat = getFileStats();
karma.bbd5eb8688b2bc1e3dd04910aa68fd19c5036b31.lib.server.js,transports: config.transports,return function() {
bower.761c947e25dc21434524ba6b2e05114cd2dd29a5.lib.core.PackageRepository.js,var isTargetable;,var sourceUrl;
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.plugins.tag.gist.js,const id = args.shift();,'
hexo.2bda09f52181eb1ab78ea4878820bc0d91d28005.lib.plugins.deployer.rsync.js,process.stdout.write(data);,""""
hexo.182bf7e3aea897c10a9983d0eb468905c35c2767.lib.generator.tag.js,"extend.generator.register(function(locals, render, callback){",""""
express.f5143a7d6368459dd56585c7cdcc65cf9438914b.test.express.test.js,"assert.equal(this, server, 'Test context of configure() is the server');","assert.equal(this, 2, server.configure.configure.env);"
karma.85900c93f070264d71fdae6c257285767119c5c2.lib.init.js,"id: 'generateTestMain',",if (name) {
eslint.219aecb78bc646d44bad27dc775a9b3d3dc58232.tests.lib.testers.no-test-runners.js,"const { RuleTester } = require(""../../../lib/rule-tester"");",const ret = new RuleTester();
express.336aaaec9a0d56ad1443828a44b8a24bab543c21.lib.view.js,", dynamic = app._dynamicLocals","= { }; }; }; }; """
hexo.28af5bc62867351a9f9a8f4ec8000c33f081d094.test.scripts.hexo.hexo.js,"it('watch() - merge theme config', () => {",unwatch()).then(() => {
bower.ec6df96a85cb0dfd2269fbec55db767e275f1a7d.lib.core.manager.js,var events     = require('events');,var app = express();
hexo.8cca1f9bbfcc14e5d3d87d45f9f86df1224958b2.test.scripts.processors.asset.js,var asset = require('../../../lib/plugins/processor/asset')(hexo);,var Asset = hexo.model('Asset');
hexo.00c6114d22ea3e7f09ad092922f21c8dc5c72c8f.lib.plugins.helper.partial.js,"module.exports = ctx => function partial(name, locals, options = {}) {",function newFile(options) {
hexo.0bb40e94bbccae131d06599bc34ca46961b39911.lib.log.js,util = require('util');,"util = require('../util'),"
hexo.78a458ba839ae3629ad74b7d222be607979acdba.lib.core.i18n.js,"var _getProperty = function(obj, key){","var _getProperty = function(obj, key){"
hexo.32de5a8aa95ecd5da5512ba34e5db30d1449aa8a.lib.plugins.tag.link.js,"function linkTag(args, content){","return function imgTag(args, content){"
hexo.57819bc6afea3ca356b79d37792e56032b33fe66.lib.plugins.generator.page.js,"render(item.path, [layout, 'page', 'post', 'index'], item);",""""
express.d3c5b035313dcc96222b63f730fdf7a3bd5389ac.spec.spec.collection.js,it 'should consider a single word a property on a',it'should be considered a return expression'
bower.3b8b52d2228ec5aa6118fef92c14c6651bd3c453.lib.core.Project.js,if (this._jsonFile) {,}.bind(this._manager);
hexo.147c0174dde93e4333b203906dd41ae40e1adffc.lib.plugins.console.version.js,"extend.console.register('version', 'Display version', {init: true, alias: 'v'}, function(args, callback){",""""
express.c0739bb8b7910a5df81900058d02f9c3f52c80e9.lib.express.server.js,this.registerErrorHandlers();,this.registerErrorHandlers();
karma.5c6b151d4a1f553b81e2b07202dbec09de95d680.lib.middleware.source_files.js,var _ = require('lodash'),var _ = require('lodash')
hexo.1d6dc9ecdd83fc79f19e2b2052d0e33dc51fa6ac.lib.cli.preview.js,} else if (hexo.debug){,if (hexo.debug){
express.328c6d30603202cfdf1e479f2486e10521a91a44.test.req.subdomains.js,", request = require('supertest');",'
hexo.867e1fdde1436323c41b34c709431cdbbcbaa4ff.lib.cli.generate.js,"var queue = async.queue(function(key, next){","var finish = new Date(),"
karma.77b2c26cf07883976d308c45d306ae9f12fe8fff.test.client.mocha.spec.js,"describe('fail', function() {",function mock.failureOnError() {
express.acbf22427727eddfbd92ef6c8e911cb6f9bcbb95.test.response.test.js,", 'Content-Type': 'text/html; charset=utf8'",{ url: '/'browsers=;')
express.dd07776f07b64f081504085922398ecd4973586c.spec.spec.plugins.cookie.js,describe 'response',describe'response'
bower.6bc778df32c0276300f0ca782a92b576b8ca6a06.test.core.Manager.js,"describe('Manager', function() {","describe('Manager', function () {"
hexo.018383d09af1e0294e72b8fbef4c3007f9f01270.lib.plugins.tag.index.js,"tag.register('vimeo', require('./vimeo'));",NULL
hexo.c3d0367955c8b5566c0f0ee2b131659aa2196549.test.scripts.console.list_categories.js,expect(console.log.calledWith(sinon.match('Name'))).be.true;,expect(console.log.calledWith(sinon.match('Name'))).be.true;
karma.c3f05ef25de93e40d5a58920c495c48703f9ebfa.lib.server.js,socketServer.sockets.removeAllListeners(),NULL
karma.b490985c6e165ba978d3f80078a45b44e18728fc.lib.middleware.source_files.js,"var findByPath = function(files, path) {","var findByPath = function(files, path) {"
karma.47c641f7560d28e0d9eac7ae010566d296d5b628.lib.preprocessor.js,var alreadyDisplayedWarnings = Object.create(null);,var patterns = Object.keys(config);
express.b6aca36ad94cf70fd5b75bd92964a2f842335e5c.lib.request.js,msg = utils.miniMarkdown(utils.escape(msg));,"""== undefined);"" instead');"""
hexo.f3517907e7e86bf8d636ebc624beaf56524e86d3.test.scripts.filters.new_post_path.js,require('chai').should();,it('should
hexo.bcdfb298196c3b874383ff3790d99317ac895766.test.scripts.helpers.gravatar.js,var crypto = require('crypto');,""""
karma.396173952addce3f6e904310686a42b102aa53f8.lib.web-server.js,var VERSION = require('./constants').VERSION;,var VERSION = require('../constants').VERSION;
express.4031aaa591a1206bfb1232ff83cc60741f2a9c8d.test.res.set.js,"describe('.set(field, values)', function(){","describe('.send(Buffer)', function(){"
bower.7b0b53a96d2f872a69ee94c0c38c7773c5141e7c.lib.core.resolvers.GitResolver.js,return this._cleanup();,return that._cleanup();
bower.0b9acc18cce4f6cf17d234a4b77adac66aa2c0bd.lib.commands.uninstall.js,delete options.argv;,delete options.argv;
hexo.ae268b3f68baf25c2f161e792703e5ee069e47d9.lib.generate.js,_ = require('underscore');,_ = require('underscore');
express.e9abe1b846894c54739ced703674f4ef4a96ab05.lib.http.js,base = this.set('basepath') || this.route;,return this.middleware);
eslint.219aecb78bc646d44bad27dc775a9b3d3dc58232.tests.lib.config.config-validator.js,"validator = require(""../../../lib/shared/config-validator""),",const users.invalidateColumnsParser();
hexo.65dece903c8e3a44689217f8a1acaab17a961a9d.test.scripts.hexo.post.js,const { join } = require('path');,const pathFn = require(\'path\');
bower.83661eec48c0c13abd49bc4668268b253196dbc6.lib.commands.install.js,"var manager = new Manager(paths, { force: options & options.force });","var install = cb.manager.install(opts, options);"
hexo.ab0f5ec51cd19f4f1312e9fb142c3764797d4e64.test.scripts.filters.excerpt.js,_moreCases().forEach(_test);,'
karma.911c2f13720a8f0b90a798af2c25d107e5415063.lib.middleware.proxy.js,pathname += '/';,}
bower.99e63ddf4d78938cdc880d37dd6e7a89be6c445f.lib.core.package.js,if (process.env.HTTP_PROXY) {,if (this.assetType)
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.hexo.post.js,const moment = require('moment');,const url = require(\'url\');
express.82e932734411763f35d600782416152417fd9761.examples.app.js,"set('views', dirname(__filename) + '/views')","set('root', dirname(__filename))"
mongoose.b62164649c6ade14dbd847b39f65e1a00cc40682.test.capped.test.js,"describe('collections: capped:', function(){",NULL
